Name,Description,Type,Long,Lat,PixelOffsetLeft,PixelOffsetTop
"Bridal Veil Falls","A pretty waterfall that gently cascades down the valley, don't forget to take a few snapshots as you walk past on the track.","waterfall","168.2486126","-44.70179783","-22"," "
"Harris Saddle","The long climb to the Harris Saddle, the highest point of the track, is worth every step. The saddle has pretty little tarns (mountain lakes) hidden in its folds.","generic-poi","168.1718139","-44.72697948","-45"," "
"lake Harris","A hidden delight! The track sidles past this beautiful deep blue mountain lake, tucked into the surrounding mountains and alpine valley.","lake","168.1765344","-44.72517871","10"," "
"Routeburn Falls","Enjoy the dramatic landscape around the Falls, before descending to the alpine meadows of the Routeburn Flats.","waterfall","168.1989918","-44.72487367"," "," "
"Routeburn Falls Hut"," ","Hut","168.1992612","-44.72587966"," ","30"
"The Big Slip","'The Big Slip' happened in 1997 and cleared the beech forest from around the track affording views back down the Routeburn as well as up the Routeburn (north branch) towards Mt. Somnus (2293 metres) and Mt Momus (2148 metres).","scenic-lookout","168.209542","-44.728735"," "," "
"Hollyford Valley","Look over the Hollyford Valley to the ice capped Darran Mountains before descending to lake Mackenzie.","scenic-lookout","168.1403304","-44.75722698"," "," "
"yellowhead/mohua","Spot the endangered yellowhead/mohua. This cute little songster is often perched high in the treetops. Listen out for its distinctive chirpy song along the first 3 kms of the track.","birdwatching","168.2597643","-44.71064194"," "," "
"Routeburn Flats Hut and Campsite"," ","camphut","168.2152465","-44.72546422"," "," "
"Conical Hill","Take the popular side trip to Conical Hill (1515m) and you'll be rewarded with spectacular views on a good day of the Hollyford Valley through to lake McKerrow, Martins Bay and the Tasman Sea.","side-trip","168.1695891","-44.72196294"," "," "
"Harris Saddle Shelter","From the Harris shelter, you are surrounded by mountains. Follow the well-trodden path from the shelter heading up to Conical Hill (1515m) to enjoy 360� panoramic views.","Shelter","168.170462","-44.72694101"," "," "
"lake Mackenzie Hut and Campsite"," ","camphut","168.1737086","-44.76748948"," "," "
"lake Howden Hut"," ","Hut","168.1354637","-44.81569964"," "," "
"Key Summit Lookout"," ","Feature","168.1270871","-44.81976256"," "," "
"The Divide Shelter"," ","Shelter","168.1175261","-44.8248656"," "," "
"Routeburn Shelter"," ","Shelter","168.2785554","-44.71873712"," "," "
