Name,Description,Type,Long,Lat,PixelOffsetLeft,PixelOffsetTop
"Bridge to Nowhere","Visit the famous Bridge to Nowhere, a bridge left behind by returned World War One Serviceman in the valley of abandoned dreams. A gentle 40 minute walk from the Mangapurua Landing on the Whanganui river will take you there.","Feature","174.9723523","-39.27109088"," "," "
"Ohinepane Campsite"," ","campsite","175.1458139","-38.94170753"," "," "
"Poukaria Campsite"," ","campsite","175.119608","-38.99204"," "," "
"Mangapapa Campsite"," ","campsite","174.9992349","-39.12934838"," "," "
"Maharanui Campsite"," ","campsite","175.0446189","-39.07325063"," "," "
"Whakahoro Campsite"," ","campsite","175.070556","-39.10849301"," "," "
"Ohauora Campsite"," ","campsite","174.958715","-39.171252"," "," "
"John Coull Hut and Campsite"," ","camphut","174.913811","-39.23312201"," "," "
"Mangawaiiti Campsite"," ","campsite","174.905047","-39.28416201"," "," "
"Mangapurua Campsite"," ","campsite","174.966516","-39.281852","-30","-30"
"Tieke Kainga and Campsite","Learn about the history of Tieke and the intimate connection that Whanganui iwi have with the awa (river). Admire intricately carved pou whenua and learn about the tikanga (protocol) of the marae.","camphut","174.992757","-39.337522"," "," "
"Ngaporo Campsite"," ","campsite","175.035695","-39.424979"," "," "
"Ohura Falls"," ","Feature","175.060766","-39.038136"," "," "
"Manganui o te Ao (river junction)"," ","Feature","175.044909","-39.40474601"," "," "
